42.46372 1.49129 Europe/Andorra
42.55623 1.53319 Europe/Andorra
42.50729 1.53414 Europe/Andorra
42.54499 1.51483 Europe/Andorra
42.53474 1.58014 Europe/Andorra
42.5676 1.59756 Europe/Andorra
42.50779 1.52109 Europe/Andorra
25.56473 55.55517 Asia/Dubai
25.78953 55.9432 Asia/Dubai
23.14355 53.7881 Asia/Dubai
25.33132 56.34199 Asia/Dubai
25.0657 55.17128 Asia/Dubai
25.59246 56.26176 Asia/Dubai
25.61955 56.27291 Asia/Dubai
25.33737 55.41206 Asia/Dubai
24.11028 52.73056 Asia/Dubai
25.11641 56.34141 Asia/Dubai
24.19167 55.76056 Asia/Dubai
25.41111 55.43504 Asia/Dubai
25.28812 55.88157 Asia/Dubai
24.46667 54.36667 Asia/Dubai
34.65389 61.19778 Asia/Kabul
35.94831 66.42132 Asia/Kabul
34.34264 61.74675 Asia/Kabul
32.84734 68.44573 Asia/Kabul
33.14641 68.79213 Asia/Kabul
30.95962 61.86037 Asia/Kabul
37.46572 69.61131 Asia/Kabul
34.59431 61.26895 Asia/Kabul
32.62998 65.87806 Asia/Kabul
36.73605 69.53451 Asia/Kabul
35.69941 66.06164 Asia/Kabul
34.85501 69.64917 Asia/Kabul
33.30294 62.1474 Asia/Kabul
36.66757 65.7529 Asia/Kabul
34.10737 64.3052 Asia/Kabul
35.02298 69.35112 Asia/Kabul
36.21544 65.93249 Asia/Kabul
32.07275 64.8359 Asia/Kabul
35.84972 66.43694 Asia/Kabul
36.26468 68.01551 Asia/Kabul
30.15 62.6 Asia/Kabul
37.12604 69.83045 Asia/Kabul
37.41853 66.04358 Asia/Kabul
37.03999 66.78891 Asia/Kabul
37.21959 68.7802 Asia/Kabul
34.94023 61.77589 Asia/Kabul
34.98735 63.12891 Asia/Kabul
35.54729 65.5676 Asia/Kabul
32.10575 66.90833 Asia/Kabul
35.42064 70.92261 Asia/Kabul
35.94458 68.71512 Asia/Kabul
33.99529 69.02274 Asia/Kabul
34.38795 67.02327 Asia/Kabul
34.58787 68.95091 Asia/Kabul
32.92775 66.63253 Asia/Kabul
33.72178 66.13023 Asia/Kabul
36.0649 69.13343 Asia/Kabul
34.74999 69.11899 Asia/Kabul
30.43624 61.8383 Asia/Kabul
35.92139 64.78361 Asia/Kabul
34.67139 70.20944 Asia/Kabul
36.70904 67.11087 Asia/Kabul
31.59382 64.37161 Asia/Kabul
35.48936 66.66409 Asia/Kabul
33.29565 61.95221 Asia/Kabul
36.72895 68.857 Asia/Kabul
33.33951 69.92041 Asia/Kabul
36.69736 67.69826 Asia/Kabul
31.52919 62.79055 Asia/Kabul
36.95127 72.318 Asia/Kabul
36.6825 69.11556 Asia/Kabul
34.48108 62.5863 Asia/Kabul
31.61332 65.71013 Asia/Kabul
34.52813 69.17233 Asia/Kabul
36.86477 70.83421 Asia/Kabul
34.42647 70.45153 Asia/Kabul
35.11833 69.23778 Asia/Kabul
34.34817 62.19967 Asia/Kabul
35.73062 63.78264 Asia/Kabul
33.55391 68.42096 Asia/Kabul
31.82089 64.57005 Asia/Kabul
33.59744 69.22592 Asia/Kabul
37.11664 70.58002 Asia/Kabul
36.57288 69.85783 Asia/Kabul
32.37451 62.11638 Asia/Kabul
34.66667 61.06667 Asia/Kabul
37.18897 68.93644 Asia/Kabul
37.13333 69.16667 Asia/Kabul
35.97744 65.37828 Asia/Kabul
31.13231 64.1934 Asia/Kabul
35.41674 65.98234 Asia/Kabul
35.01361 69.17139 Asia/Kabul
34.24475 62.19165 Asia/Kabul
34.51952 65.25093 Asia/Kabul
34.24749 70.87218 Asia/Kabul
33.96744 68.9492 Asia/Kabul
34.82156 67.82734 Asia/Kabul
36.75635 66.8972 Asia/Kabul
36.13068 68.70829 Asia/Kabul
34.17355 69.64573 Asia/Kabul
37.08571 69.47958 Asia/Kabul
35.03333 71.35809 Asia/Kabul
36.68333 71.53333 Asia/Kabul
